symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
HRC,Công ty Cổ phần Cao su Hòa Bình,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
HTN,Công ty Cổ phần Hưng Thịnh Incons,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
HTV,Công ty Cổ phần Logistics Vicem,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HVG,,,,,,,,
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,5000,5700,5750,5751,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ICT,Công ty Cổ phần Viễn thông - Tin học Bưu điện,9000,9500,9530,9537,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
